,datetime,home_team,away_team,home_goal,away_goal,season,stage,ALVO,Pre_Home_Palmeiras,Pre_Home_Santos,Pre_Home_SaoPaulo,Pre_Home_Corinthians,Pre_Home_Outros,Pre_Away_Palmeiras,Pre_Away_Santos,Pre_Away_SaoPaulo,Pre_Away_Corinthians,Pre_Away_Outros,Pre_home_goal,Pre_away_goal
3519,2021-07-08 21:00:00,Chapecoense,Corinthians,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
3520,2021-07-10 16:30:00,Palmeiras,Santos,3.0,2.0,2021.0,pontos corridos,2,1,0,0,0,0,0,1,0,0,0,0.375,0.2857142857142857
3523,2021-07-10 19:00:00,São Paulo,Bahia,1.0,0.0,2021.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
3529,2021-07-11 20:30:00,Fortaleza,Corinthians,1.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
3531,2021-07-17 17:00:00,São Paulo,Fortaleza,0.0,1.0,2021.0,pontos corridos,0,0,0,1,0,0,0,0,0,0,1,0.0,0.14285714285714285
3532,2021-07-17 19:00:00,Corinthians,Atlético Mineiro,1.0,2.0,2021.0,pontos corridos,0,0,0,0,1,0,0,0,0,0,1,0.125,0.2857142857142857
3535,2021-07-18 16:00:00,Atlético,Palmeiras,0.0,3.0,2021.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.0,0.42857142857142855
3538,2021-07-18 20:30:00,Red Bull Bragantino,Santos,2.0,2.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.25,0.2857142857142857
3541,2021-07-24 19:00:00,Palmeiras,Fluminense,1.0,0.0,2021.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.125,0.0
3544,2021-07-25 16:00:00,Flamengo,São Paulo,5.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.625,0.14285714285714285
3546,2021-07-25 18:15:00,Santos,Atlético,0.0,1.0,2021.0,pontos corridos,0,0,1,0,0,0,0,0,0,0,1,0.0,0.14285714285714285
3549,2021-07-26 20:00:00,Cuiabá,Corinthians,1.0,2.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,0,1,0,0.125,0.2857142857142857
3550,2021-07-31 19:00:00,São Paulo,Palmeiras,0.0,0.0,2021.0,pontos corridos,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0
3553,2021-08-01 16:00:00,Corinthians,Flamengo,1.0,3.0,2021.0,pontos corridos,0,0,0,0,1,0,0,0,0,0,1,0.125,0.42857142857142855
3555,2021-08-01 18:15:00,Chapecoense,Santos,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,1,0,1,0,0,0,0.0,0.14285714285714285
3561,2021-08-07 18:00:00,Athletico Paranaense,São Paulo,1.0,2.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,1,0,0,0.125,0.2857142857142857
3562,2021-08-07 21:00:00,Palmeiras,Fortaleza,2.0,3.0,2021.0,pontos corridos,0,1,0,0,0,0,0,0,0,0,1,0.25,0.42857142857142855
3566,2021-08-08 16:00:00,Santos,Corinthians,0.0,0.0,2021.0,pontos corridos,1,0,1,0,0,0,0,0,0,1,0,0.0,0.0
3571,2021-08-14 19:00:00,Atlético Mineiro,Palmeiras,2.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.25,0.0
3572,2021-08-14 21:00:00,São Paulo,Grêmio,2.0,1.0,2021.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.25,0.14285714285714285
3574,2021-08-15 16:00:00,Corinthians,Ceará,3.0,1.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.375,0.14285714285714285
3575,2021-08-15 18:15:00,Fortaleza,Santos,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.125,0.14285714285714285
3583,2021-08-22 11:00:00,Palmeiras,Cuiabá,0.0,2.0,2021.0,pontos corridos,0,1,0,0,0,0,0,0,0,0,1,0.0,0.2857142857142857
3585,2021-08-22 16:00:00,Athletico Paranaense,Corinthians,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
3586,2021-08-22 18:15:00,Santos,Internacional,2.0,2.0,2021.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.25,0.2857142857142857
3587,2021-08-22 20:30:00,Sport,São Paulo,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,1,0,0,0.0,0.14285714285714285
3591,2021-08-28 19:00:00,Santos,Flamengo,0.0,4.0,2021.0,pontos corridos,0,0,1,0,0,0,0,0,0,0,1,0.0,0.5714285714285714
3592,2021-08-28 21:00:00,Grêmio,Corinthians,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
3593,2021-08-28 21:00:00,Palmeiras,Athletico Paranaense,2.0,1.0,2021.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.25,0.14285714285714285
3595,2021-08-29 16:00:00,Juventude,São Paulo,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,1,0,0,0.125,0.14285714285714285
3601,2021-09-04 21:00:00,Cuiabá,Santos,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,0,1,0,0,0,0.25,0.14285714285714285
3603,2021-09-07 21:30:00,Corinthians,Juventude,1.0,1.0,2021.0,pontos corridos,1,0,0,0,1,0,0,0,0,0,1,0.125,0.14285714285714285
3605,2021-09-22 20:30:00,São Paulo,America,0.0,0.0,2021.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0
3606,2021-10-20 19:00:00,Ceará,Palmeiras,1.0,2.0,2021.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.125,0.2857142857142857
3613,2021-09-11 21:00:00,Santos,Bahia,0.0,0.0,2021.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0
3616,2021-09-12 16:00:00,Palmeiras,Flamengo,1.0,3.0,2021.0,pontos corridos,0,1,0,0,0,0,0,0,0,0,1,0.125,0.42857142857142855
3617,2021-09-12 18:15:00,Atlético,Corinthians,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.125,0.14285714285714285
3618,2021-09-12 20:30:00,Fluminense,São Paulo,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.25,0.14285714285714285
3620,2021-09-18 17:00:00,Chapecoense,Palmeiras,0.0,2.0,2021.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.0,0.2857142857142857
3624,2021-09-18 21:00:00,Ceará,Santos,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
3626,2021-09-19 16:00:00,São Paulo,Atlético,2.0,1.0,2021.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.25,0.14285714285714285
3627,2021-09-19 18:15:00,Corinthians,America,1.0,1.0,2021.0,pontos corridos,1,0,0,0,1,0,0,0,0,0,1,0.125,0.14285714285714285
3631,2021-09-25 19:00:00,Corinthians,Palmeiras,2.0,1.0,2021.0,pontos corridos,2,0,0,0,1,0,1,0,0,0,0,0.25,0.14285714285714285
3632,2021-09-25 21:00:00,São Paulo,Atlético Mineiro,0.0,0.0,2021.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0
3634,2021-09-26 16:00:00,Juventude,Santos,3.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,1,0,0,0,0.375,0.0
3642,2021-10-02 19:00:00,Red Bull Bragantino,Corinthians,2.0,2.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.25,0.2857142857142857
3644,2021-10-03 16:00:00,Chapecoense,São Paulo,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,1,0,0,0.125,0.14285714285714285
3646,2021-10-03 18:15:00,Palmeiras,Juventude,1.0,1.0,2021.0,pontos corridos,1,1,0,0,0,0,0,0,0,0,1,0.125,0.14285714285714285
3649,2021-10-27 19:00:00,Santos,Fluminense,2.0,0.0,2021.0,pontos corridos,2,0,1,0,0,0,0,0,0,0,1,0.25,0.0
3650,2021-10-05 21:30:00,Corinthians,Bahia,3.0,1.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.375,0.14285714285714285
3656,2021-10-06 21:30:00,America,Palmeiras,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.25,0.14285714285714285
3659,2021-10-07 18:30:00,São Paulo,Santos,1.0,1.0,2021.0,pontos corridos,1,0,0,1,0,0,0,1,0,0,0,0.125,0.14285714285714285
3661,2021-10-09 16:30:00,Sport,Corinthians,1.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
3665,2021-10-09 21:00:00,Palmeiras,Red Bull Bragantino,2.0,4.0,2021.0,pontos corridos,0,1,0,0,0,0,0,0,0,0,1,0.25,0.5714285714285714
3668,2021-10-10 16:00:00,Santos,Grêmio,1.0,0.0,2021.0,pontos corridos,2,0,1,0,0,0,0,0,0,0,1,0.125,0.0
3669,2021-10-11 20:00:00,Cuiabá,São Paulo,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0
3671,2021-10-12 21:30:00,Bahia,Palmeiras,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0
3674,2021-10-13 19:00:00,Atlético Mineiro,Santos,3.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,0,1,0,0,0,0.375,0.14285714285714285
3676,2021-10-13 21:00:00,Corinthians,Fluminense,1.0,0.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.125,0.0
3679,2021-10-14 19:00:00,São Paulo,Ceará,1.0,1.0,2021.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.125,0.14285714285714285
3682,2021-10-17 16:00:00,Palmeiras,Internacional,1.0,0.0,2021.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.125,0.0
3687,2021-10-17 20:30:00,Sport,Santos,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
3689,2021-10-18 20:00:00,São Paulo,Corinthians,1.0,0.0,2021.0,pontos corridos,2,0,0,1,0,0,0,0,0,1,0,0.125,0.0
3690,2021-10-23 17:00:00,Santos,America,0.0,2.0,2021.0,pontos corridos,0,0,1,0,0,0,0,0,0,0,1,0.0,0.2857142857142857
3695,2021-10-24 16:00:00,Internacional,Corinthians,2.0,2.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.25,0.2857142857142857
3696,2021-10-24 18:15:00,Red Bull Bragantino,São Paulo,1.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
3699,2021-10-25 21:30:00,Palmeiras,Sport,2.0,1.0,2021.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.25,0.14285714285714285
3700,2021-10-30 17:00:00,Athletico Paranaense,Santos,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,1,0,1,0,0,0,0.0,0.14285714285714285
3705,2021-10-31 16:00:00,Grêmio,Palmeiras,1.0,3.0,2021.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.125,0.42857142857142855
3706,2021-10-31 18:15:00,São Paulo,Internacional,1.0,0.0,2021.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
3709,2021-11-01 21:30:00,Corinthians,Chapecoense,1.0,0.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.125,0.0
3710,2021-11-06 17:00:00,Corinthians,Fortaleza,1.0,0.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.125,0.0
3713,2021-11-07 16:00:00,Santos,Palmeiras,0.0,2.0,2021.0,pontos corridos,0,0,1,0,0,0,1,0,0,0,0,0.0,0.2857142857142857
3716,2021-11-07 18:15:00,Bahia,São Paulo,1.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
3723,2021-11-10 19:00:00,Santos,Red Bull Bragantino,2.0,0.0,2021.0,pontos corridos,2,0,1,0,0,0,0,0,0,0,1,0.25,0.0
3724,2021-11-10 19:00:00,Atlético Mineiro,Corinthians,3.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.375,0.0
3725,2021-11-10 20:30:00,Palmeiras,Atlético,4.0,0.0,2021.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.5,0.0
3726,2021-11-10 21:30:00,Fortaleza,São Paulo,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,1,0,0,0.125,0.14285714285714285
3730,2021-11-13 17:00:00,Atlético,Santos,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
3734,2021-11-13 21:00:00,Corinthians,Cuiabá,3.0,2.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.375,0.2857142857142857
3735,2021-11-14 16:00:00,São Paulo,Flamengo,0.0,4.0,2021.0,pontos corridos,0,0,0,1,0,0,0,0,0,0,1,0.0,0.5714285714285714
3736,2021-11-14 18:15:00,Fluminense,Palmeiras,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.25,0.14285714285714285
3743,2021-11-17 19:00:00,Santos,Chapecoense,2.0,0.0,2021.0,pontos corridos,2,0,1,0,0,0,0,0,0,0,1,0.25,0.0
3746,2021-11-17 20:30:00,Palmeiras,São Paulo,0.0,2.0,2021.0,pontos corridos,0,1,0,0,0,0,0,0,1,0,0,0.0,0.2857142857142857
3748,2021-11-17 21:30:00,Flamengo,Corinthians,1.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
3752,2021-11-20 19:00:00,Fortaleza,Palmeiras,1.0,0.0,2021.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.125,0.0
3756,2021-11-21 16:00:00,Corinthians,Santos,2.0,0.0,2021.0,pontos corridos,2,0,0,0,1,0,0,1,0,0,0,0.25,0.0
3759,2021-11-24 21:30:00,São Paulo,Athletico Paranaense,0.0,0.0,2021.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0
3760,2021-11-23 21:30:00,Palmeiras,Atlético Mineiro,0.0,0.0,2021.0,pontos corridos,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0
3762,2021-11-25 19:00:00,Santos,Fortaleza,0.0,0.0,2021.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0
3763,2021-11-25 20:00:00,Ceará,Corinthians,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0
3767,2021-12-02 20:00:00,Grêmio,São Paulo,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0
3773,2021-11-27 21:30:00,São Paulo,Sport,0.0,0.0,2021.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0
3774,2021-11-28 16:00:00,Corinthians,Athletico Paranaense,0.0,0.0,2021.0,pontos corridos,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0
3776,2021-11-28 19:00:00,Internacional,Santos,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
3778,2021-11-30 22:00:00,Cuiabá,Palmeiras,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0
3780,2021-12-05 16:00:00,Corinthians,Grêmio,0.0,0.0,2021.0,pontos corridos,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0
3785,2021-12-06 19:00:00,Athletico Paranaense,Palmeiras,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0
3786,2021-12-06 19:00:00,São Paulo,Juventude,0.0,0.0,2021.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0
3787,2021-12-06 20:00:00,Flamengo,Santos,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
3791,2021-12-09 21:30:00,Palmeiras,Ceará,0.0,0.0,2021.0,pontos corridos,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0
3792,2021-12-09 21:30:00,Santos,Cuiabá,0.0,0.0,2021.0,pontos corridos,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0
3793,2021-12-09 21:30:00,America,São Paulo,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0
3798,2021-12-09 21:30:00,Juventude,Corinthians,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0
12,2013-02-14 22:00:00,Palmeiras,Sporting Cristal,2.0,1.0,2013.0,group stage,2,1,0,0,0,0,0,0,0,0,1,0.25,0.14285714285714285
15,2013-02-28 19:15:00,Libertad,Palmeiras,2.0,0.0,2013.0,group stage,2,0,0,0,0,1,1,0,0,0,0,0.25,0.0
17,2013-03-06 19:45:00,Tigre,Palmeiras,1.0,0.0,2013.0,group stage,2,0,0,0,0,1,1,0,0,0,0,0.125,0.0
19,2013-04-02 21:30:00,Palmeiras,Tigre,2.0,0.0,2013.0,group stage,2,1,0,0,0,0,0,0,0,0,1,0.25,0.0
21,2013-04-11 19:15:00,Palmeiras,Libertad,1.0,0.0,2013.0,group stage,2,1,0,0,0,0,0,0,0,0,1,0.125,0.0
23,2013-04-18 19:45:00,Sporting Cristal,Palmeiras,1.0,0.0,2013.0,group stage,2,0,0,0,0,1,1,0,0,0,0,0.125,0.0
24,2013-02-13 22:00:00,Atlético-MG,São Paulo,2.0,1.0,2013.0,group stage,2,0,0,0,0,1,0,0,1,0,0,0.25,0.14285714285714285
27,2013-02-28 21:30:00,São Paulo,The Strongest,2.0,1.0,2013.0,group stage,2,0,0,1,0,0,0,0,0,0,1,0.25,0.14285714285714285
28,2013-03-07 19:15:00,São Paulo,Arsenal Sarandí,1.0,1.0,2013.0,group stage,1,0,0,1,0,0,0,0,0,0,1,0.125,0.14285714285714285
31,2013-03-14 21:30:00,Arsenal Sarandí,São Paulo,2.0,1.0,2013.0,group stage,2,0,0,0,0,1,0,0,1,0,0,0.25,0.14285714285714285
33,2013-04-04 21:30:00,The Strongest,São Paulo,2.0,1.0,2013.0,group stage,2,0,0,0,0,1,0,0,1,0,0,0.25,0.14285714285714285
35,2013-04-17 22:00:00,São Paulo,Atlético-MG,2.0,0.0,2013.0,group stage,2,0,0,1,0,0,0,0,0,0,1,0.25,0.0
49,2013-02-20 22:00:00,San José,Corinthians,1.0,1.0,2013.0,group stage,1,0,0,0,0,1,0,0,0,1,0,0.125,0.14285714285714285
51,2013-02-27 22:00:00,Corinthians,Millonarios,2.0,0.0,2013.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.25,0.0
53,2013-03-06 22:00:00,Tijuana,Corinthians,1.0,0.0,2013.0,group stage,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
54,2013-03-13 22:00:00,Corinthians,Tijuana,3.0,0.0,2013.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.375,0.0
57,2013-04-03 22:00:00,Millonarios,Corinthians,0.0,1.0,2013.0,group stage,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
58,2013-04-10 22:00:00,Corinthians,San José,3.0,0.0,2013.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.375,0.0
110,2013-05-02 20:15:00,São Paulo,Atlético-MG,1.0,2.0,2013.0,round of 16,0,0,0,1,0,0,0,0,0,0,1,0.125,0.2857142857142857
111,2013-05-08 22:00:00,Atlético-MG,São Paulo,4.0,1.0,2013.0,round of 16,2,0,0,0,0,1,0,0,1,0,0,0.5,0.14285714285714285
112,2013-04-30 22:30:00,Tijuana,Palmeiras,0.0,0.0,2013.0,round of 16,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0
113,2013-05-14 22:00:00,Palmeiras,Tijuana,1.0,2.0,2013.0,round of 16,0,1,0,0,0,0,0,0,0,0,1,0.125,0.2857142857142857
114,2013-05-01 21:50:00,Boca Juniors,Corinthians,1.0,0.0,2013.0,round of 16,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
115,2013-05-15 22:00:00,Corinthians,Boca Juniors,1.0,1.0,2013.0,round of 16,1,0,0,0,1,0,0,0,0,0,1,0.125,0.14285714285714285
264,2015-02-18 22:00:00,Corinthians,São Paulo,2.0,0.0,2015.0,group stage,2,0,0,0,1,0,0,0,1,0,0,0.25,0.0
266,2015-02-25 22:00:00,São Paulo,Danubio,4.0,0.0,2015.0,group stage,2,0,0,1,0,0,0,0,0,0,1,0.5,0.0
267,2015-03-04 22:00:00,San Lorenzo,Corinthians,0.0,1.0,2015.0,group stage,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
268,2015-03-17 20:00:00,Danubio,Corinthians,1.0,2.0,2015.0,group stage,0,0,0,0,0,1,0,0,0,1,0,0.125,0.2857142857142857
269,2015-03-18 22:00:00,São Paulo,San Lorenzo,1.0,0.0,2015.0,group stage,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
270,2015-04-01 19:55:00,San Lorenzo,São Paulo,1.0,0.0,2015.0,group stage,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
271,2015-04-01 22:00:00,Corinthians,Danubio,4.0,0.0,2015.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.5,0.0
272,2015-04-15 22:00:00,Danubio,São Paulo,1.0,2.0,2015.0,group stage,0,0,0,0,0,1,0,0,1,0,0,0.125,0.2857142857142857
273,2015-04-16 22:00:00,Corinthians,San Lorenzo,0.0,0.0,2015.0,group stage,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0
275,2015-04-22 22:00:00,São Paulo,Corinthians,2.0,0.0,2015.0,group stage,2,0,0,1,0,0,0,0,0,1,0,0.25,0.0
364,2015-05-06 22:00:00,São Paulo,Cruzeiro,1.0,0.0,2015.0,round of 16,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
365,2015-05-13 19:30:00,Cruzeiro,São Paulo,1.0,0.0,2015.0,round of 16,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
366,2015-05-06 19:45:00,Guaraní (PAR),Corinthians,2.0,0.0,2015.0,round of 16,2,0,0,0,0,1,0,0,0,1,0,0.25,0.0
367,2015-05-13 22:00:00,Corinthians,Guaraní (PAR),0.0,1.0,2015.0,round of 16,0,0,0,0,1,0,0,0,0,0,1,0.0,0.14285714285714285
378,2016-02-17 19:30:00,São Paulo,The Strongest,0.0,1.0,2016.0,group stage,0,0,0,1,0,0,0,0,0,0,1,0.0,0.14285714285714285
381,2016-03-10 19:30:00,River Plate,São Paulo,1.0,1.0,2016.0,group stage,1,0,0,0,0,1,0,0,1,0,0,0.125,0.14285714285714285
383,2016-03-16 19:30:00,Trujillanos (VEN),São Paulo,1.0,1.0,2016.0,group stage,1,0,0,0,0,1,0,0,1,0,0,0.125,0.14285714285714285
384,2016-04-05 21:45:00,São Paulo,Trujillanos (VEN),6.0,0.0,2016.0,group stage,2,0,0,1,0,0,0,0,0,0,1,0.75,0.0
387,2016-04-13 21:45:00,São Paulo,River Plate,2.0,1.0,2016.0,group stage,2,0,0,1,0,0,0,0,0,0,1,0.25,0.14285714285714285
389,2016-04-21 21:45:00,The Strongest,São Paulo,1.0,1.0,2016.0,group stage,1,0,0,0,0,1,0,0,1,0,0,0.125,0.14285714285714285
390,2016-02-16 21:45:00,River Plate-URU,Palmeiras,2.0,2.0,2016.0,group stage,1,0,0,0,0,1,1,0,0,0,0,0.25,0.2857142857142857
393,2016-03-03 21:45:00,Palmeiras,Rosario Central,2.0,0.0,2016.0,group stage,2,1,0,0,0,0,0,0,0,0,1,0.25,0.0
395,2016-03-09 21:45:00,Palmeiras,Nacional (URU),1.0,2.0,2016.0,group stage,0,1,0,0,0,0,0,0,0,0,1,0.125,0.2857142857142857
397,2016-03-17 21:45:00,Nacional (URU),Palmeiras,1.0,0.0,2016.0,group stage,2,0,0,0,0,1,1,0,0,0,0,0.125,0.0
398,2016-04-06 21:45:00,Rosario Central,Palmeiras,3.0,3.0,2016.0,group stage,1,0,0,0,0,1,1,0,0,0,0,0.375,0.42857142857142855
401,2016-04-14 21:45:00,Palmeiras,River Plate-URU,4.0,0.0,2016.0,group stage,2,1,0,0,0,0,0,0,0,0,1,0.5,0.0
463,2016-02-17 21:45:00,Cobresal,Corinthians,0.0,1.0,2016.0,group stage,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
465,2016-03-02 21:45:00,Corinthians,Ind. Santa Fe,1.0,0.0,2016.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.125,0.0
467,2016-03-09 19:30:00,Cerro Porteño,Corinthians,3.0,2.0,2016.0,group stage,2,0,0,0,0,1,0,0,0,1,0,0.375,0.2857142857142857
469,2016-03-16 21:45:00,Corinthians,Cerro Porteño,2.0,0.0,2016.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.25,0.0
470,2016-04-06 21:45:00,Ind. Santa Fe,Corinthians,1.0,1.0,2016.0,group stage,1,0,0,0,0,1,0,0,0,1,0,0.125,0.14285714285714285
472,2016-04-20 21:45:00,Corinthians,Cobresal,6.0,0.0,2016.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.75,0.0
476,2016-07-06 21:45:00,São Paulo,Atlético Nacional,0.0,2.0,2016.0,semifinals,0,0,0,1,0,0,0,0,0,0,1,0.0,0.2857142857142857
477,2016-07-13 21:45:00,Atlético Nacional,São Paulo,2.0,1.0,2016.0,semifinals,2,0,0,0,0,1,0,0,1,0,0,0.25,0.14285714285714285
482,2016-05-11 21:45:00,São Paulo,Atlético-MG,1.0,0.0,2016.0,quarterfinals,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
483,2016-05-18 21:45:00,Atlético-MG,São Paulo,2.0,1.0,2016.0,quarterfinals,2,0,0,0,0,1,0,0,1,0,0,0.25,0.14285714285714285
494,2016-04-28 21:45:00,São Paulo,Toluca,4.0,0.0,2016.0,round of 16,2,0,0,1,0,0,0,0,0,0,1,0.5,0.0
495,2016-05-04 19:15:00,Toluca,São Paulo,3.0,1.0,2016.0,round of 16,2,0,0,0,0,1,0,0,1,0,0,0.375,0.14285714285714285
500,2016-04-27 21:45:00,Nacional (URU),Corinthians,0.0,0.0,2016.0,round of 16,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0
501,2016-05-04 21:45:00,Corinthians,Nacional (URU),2.0,2.0,2016.0,round of 16,1,0,0,0,1,0,0,0,0,0,1,0.25,0.2857142857142857
517,2017-03-09 21:45:00,Sporting Cristal,Santos,1.0,1.0,2017.0,group stage,1,0,0,0,0,1,0,1,0,0,0,0.125,0.14285714285714285
518,2017-03-16 21:45:00,Santos,The Strongest,2.0,0.0,2017.0,group stage,2,0,1,0,0,0,0,0,0,0,1,0.25,0.0
521,2017-04-19 21:45:00,Ind. Santa Fe,Santos,0.0,0.0,2017.0,group stage,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0
523,2017-05-04 21:45:00,Santos,Ind. Santa Fe,3.0,2.0,2017.0,group stage,2,0,1,0,0,0,0,0,0,0,1,0.375,0.2857142857142857
525,2017-05-17 19:30:00,The Strongest,Santos,1.0,1.0,2017.0,group stage,1,0,0,0,0,1,0,1,0,0,0,0.125,0.14285714285714285
