datetime,home_team,away_team,home_goal,away_goal,season,stage,ALVO,Pre_Home_Palmeiras,Pre_Home_Santos,Pre_Home_SaoPaulo,Pre_Home_Corinthians,Pre_Away_Palmeiras,Pre_Away_Santos,Pre_Away_SaoPaulo,Pre_Away_Corinthians,Pre_home_goal,Pre_away_goal
2018-11-25 19:00:00,America Fc,Bahia,1.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2016-10-23 19:30:00,Atlético,Figueirense,3.0,0.0,2016.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.0
2021-07-20 19:15:00,Atlético-MG,Boca Juniors,0.0,0.0,2021.0,round of 16,1,0,0,0,0,0,0,0,0,0.0,0.0
2017-07-08 19:00:00,Corinthians,Ponte Preta,2.0,0.0,2017.0,pontos corridos,2,0,0,0,1,0,0,0,0,0.25,0.0
2021-06-13 20:30:00,Bahia,Internacional,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2014-10-22 21:00:00,Coritiba,Botafogo,2.0,0.0,2014.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2015-11-01 17:00:00,Atlético,Corinthians,0.0,3.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,1,0.0,0.42857142857142855
2019-11-10 19:00:00,Csa,Vasco da Gama,0.0,3.0,2019.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.42857142857142855
2014-10-12 18:30:00,Criciuma,Santos,3.0,0.0,2014.0,pontos corridos,2,0,0,0,0,0,1,0,0,0.375,0.0
2020-08-09 16:00:00,Santos,Red Bull Bragantino,1.0,1.0,2020.0,pontos corridos,1,0,1,0,0,0,0,0,0,0.125,0.14285714285714285
2021-09-19 20:30:00,Flamengo,Grêmio,0.0,1.0,2021.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2012-09-15 18:30:00,Fluminense,Atlético,1.0,2.0,2012.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2015-06-21 16:00:00,Joinville,Goiás,2.0,1.0,2015.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2020-08-22 21:00:00,Goiás,Atlético,2.0,0.0,2020.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2016-08-21 18:30:00,Figueirense,Cruzeiro,1.0,2.0,2016.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2017-12-03 17:00:00,Sport,Corinthians,1.0,0.0,2017.0,pontos corridos,2,0,0,0,0,0,0,0,1,0.125,0.0
2021-07-21 19:00:00,Cuiabá,Atlético,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2019-04-11 23:00:00,Emelec,Deportivo Lara,2.0,2.0,2019.0,group stage,1,0,0,0,0,0,0,0,0,0.25,0.2857142857142857
2013-08-25 16:00:00,Atlético,Portuguesa,2.0,1.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2015-11-15 17:00:00,Cruzeiro,Sport,3.0,0.0,2015.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.0
2012-07-29 16:00:00,Fluminense,Atlético,0.0,0.0,2012.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2015-07-19 11:00:00,Atlético,Chapecoense,1.0,0.0,2015.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2012-06-07 21:00:00,Botafogo,Cruzeiro,2.0,3.0,2012.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.25,0.42857142857142855
2019-05-08 21:30:00,Peñarol,Flamengo,0.0,0.0,2019.0,group stage,1,0,0,0,0,0,0,0,0,0.0,0.0
2021-10-13 19:00:00,Chapecoense,Athletico Paranaense,1.0,1.0,2021.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2019-07-28 11:00:00,Chapecoense,Bahia,0.0,0.0,2019.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2014-04-09 19:45:00,Bolívar,Emelec,2.0,1.0,2014.0,group stage,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2015-02-19 20:45:00,Danubio,San Lorenzo,1.0,2.0,2015.0,group stage,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2019-09-07 17:00:00,Fortaleza,Fluminense,0.0,1.0,2019.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2016-06-18 21:00:00,América,Coritiba,2.0,1.0,2016.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2016-10-29 18:30:00,Botafogo,Coritiba,0.0,0.0,2016.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2014-10-19 16:00:00,Palmeiras,Santos,1.0,3.0,2014.0,pontos corridos,0,1,0,0,0,0,1,0,0,0.125,0.42857142857142855
2017-10-29 17:00:00,Ponte Preta,Corinthians,1.0,0.0,2017.0,pontos corridos,2,0,0,0,0,0,0,0,1,0.125,0.0
2014-11-29 19:30:00,Criciuma,Sport,2.0,2.0,2014.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.25,0.2857142857142857
2015-08-16 16:00:00,Fluminense,Figueirense,2.0,1.0,2015.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2015-09-10 21:00:00,Joinville,Chapecoense,0.0,0.0,2015.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2017-04-20 21:45:00,Barcelona-EQU,Botafogo,1.0,1.0,2017.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2021-02-04 18:30:00,Fortaleza,Coritiba,3.0,1.0,2020.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.14285714285714285
2015-07-25 18:30:00,Avaí,Atlético,1.0,2.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2021-10-03 20:30:00,Grêmio,Sport,1.0,2.0,2021.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2012-09-16 16:00:00,Bahia,Figueirense,2.0,1.0,2012.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2019-05-19 16:00:00,Goiás,Botafogo,1.0,0.0,2019.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2013-10-09 21:00:00,Ponte Preta,Atlético,2.0,0.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2012-06-17 18:30:00,Náutico,Grêmio,1.0,0.0,2012.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2019-06-10 20:00:00,Goiás,Chapecoense,3.0,1.0,2019.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.14285714285714285
2013-09-29 18:30:00,Atlético,Santos,3.0,1.0,2013.0,pontos corridos,2,0,0,0,0,0,1,0,0,0.375,0.14285714285714285
2016-06-01 21:45:00,Botafogo,Cruzeiro,0.0,1.0,2016.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2019-10-09 21:00:00,Bahia,São Paulo,0.0,0.0,2019.0,pontos corridos,1,0,0,0,0,0,0,1,0,0.0,0.0
2018-03-14 19:15:00,Estudiantes,Real Garcilaso,3.0,0.0,2018.0,group stage,2,0,0,0,0,0,0,0,0,0.375,0.0
2017-09-09 16:00:00,Atlético,Palmeiras,1.0,1.0,2017.0,pontos corridos,1,0,0,0,0,1,0,0,0,0.125,0.14285714285714285
2019-12-05 19:15:00,Palmeiras,Goiás,5.0,1.0,2019.0,pontos corridos,2,1,0,0,0,0,0,0,0,0.625,0.14285714285714285
2016-03-10 19:30:00,River Plate,São Paulo,1.0,1.0,2016.0,group stage,1,0,0,0,0,0,0,1,0,0.125,0.14285714285714285
2014-07-29 21:15:00,Defensor Sporting,Nacional (PAR),1.0,0.0,2014.0,semifinals,2,0,0,0,0,0,0,0,0,0.125,0.0
2015-09-20 16:00:00,Vasco da Gama,Sport,2.0,1.0,2015.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2013-11-30 19:30:00,Fluminense,Atlético,2.0,2.0,2013.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.25,0.2857142857142857
2012-10-06 18:30:00,Grêmio,Cruzeiro,2.0,1.0,2012.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2013-06-01 18:30:00,Goiás,Coritiba,1.0,1.0,2013.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2012-10-14 18:30:00,Fluminense,Ponte Preta,2.0,1.0,2012.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2013-09-10 19:30:00,Internacional,Santos,1.0,2.0,2013.0,pontos corridos,0,0,0,0,0,0,1,0,0,0.125,0.2857142857142857
2021-09-26 16:00:00,Internacional,Bahia,2.0,0.0,2021.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2014-10-21 21:50:00,Bahia,Atlético,1.0,1.0,2014.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2018-05-21 20:00:00,Internacional,Chapecoense,3.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.0
2017-07-30 16:00:00,Corinthians,Flamengo,1.0,1.0,2017.0,pontos corridos,1,0,0,0,1,0,0,0,0,0.125,0.14285714285714285
2013-08-11 18:30:00,Portuguesa,São Paulo,2.0,1.0,2013.0,pontos corridos,2,0,0,0,0,0,0,1,0,0.25,0.14285714285714285
2020-09-22 19:15:00,Tigre,Bolívar,1.0,1.0,2020.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2012-09-06 21:00:00,Fluminense,Santos,3.0,1.0,2012.0,pontos corridos,2,0,0,0,0,0,1,0,0,0.375,0.14285714285714285
2014-04-23 22:00:00,Atlético Nacional,Atlético-MG,1.0,0.0,2014.0,round of 16,2,0,0,0,0,0,0,0,0,0.125,0.0
2017-12-03 17:00:00,Vitória,Flamengo,1.0,2.0,2017.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2012-10-10 19:30:00,Bahia,Fluminense,0.0,2.0,2012.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.2857142857142857
2020-11-02 20:00:00,Grêmio,Red Bull Bragantino,2.0,1.0,2020.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2013-07-07 18:30:00,Botafogo,Fluminense,1.0,0.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2014-03-25 23:00:00,Santos Laguna,Peñarol,4.0,1.0,2014.0,group stage,2,0,0,0,0,0,0,0,0,0.5,0.14285714285714285
2018-09-01 16:00:00,Grêmio,Botafogo,4.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.5,0.0
2021-05-19 19:00:00,Vélez Sarsfield,Unión La Calera,2.0,1.0,2021.0,group stage,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2018-09-01 16:00:00,Vitória,America Fc,1.0,0.0,2018.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2018-11-18 17:00:00,Sport,Flamengo,0.0,1.0,2018.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2019-10-30 21:30:00,Ceará,Fluminense,2.0,0.0,2019.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2016-12-11 17:00:00,Santos,América,1.0,0.0,2016.0,pontos corridos,2,0,1,0,0,0,0,0,0,0.125,0.0
2014-05-22 21:00:00,Vitória,Atlético,2.0,3.0,2014.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.25,0.42857142857142855
2017-08-23 19:30:00,Chapecoense,Corinthians,0.0,1.0,2017.0,pontos corridos,0,0,0,0,0,0,0,0,1,0.0,0.14285714285714285
2013-08-24 18:30:00,Ponte Preta,Cruzeiro,0.0,2.0,2013.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.2857142857142857
2020-11-14 19:00:00,Corinthians,Atlético,1.0,2.0,2020.0,pontos corridos,0,0,0,0,1,0,0,0,0,0.125,0.2857142857142857
2020-12-26 21:00:00,Fluminense,São Paulo,1.0,2.0,2020.0,pontos corridos,0,0,0,0,0,0,0,1,0,0.125,0.2857142857142857
2015-05-09 18:30:00,Palmeiras,Atlético,2.0,2.0,2015.0,pontos corridos,1,1,0,0,0,0,0,0,0,0.25,0.2857142857142857
2016-04-27 21:45:00,Nacional (URU),Corinthians,0.0,0.0,2016.0,round of 16,1,0,0,0,0,0,0,0,1,0.0,0.0
2016-03-16 21:45:00,Corinthians,Cerro Porteño,2.0,0.0,2016.0,group stage,2,0,0,0,1,0,0,0,0,0.25,0.0
2014-10-25 21:00:00,Botafogo,Flamengo,2.0,1.0,2014.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2019-04-02 21:30:00,Palestino,Alianza Lima,3.0,0.0,2019.0,group stage,2,0,0,0,0,0,0,0,0,0.375,0.0
2017-06-07 21:00:00,Santos,Botafogo,1.0,0.0,2017.0,pontos corridos,2,0,1,0,0,0,0,0,0,0.125,0.0
2021-10-17 18:15:00,Ceará,Red Bull Bragantino,2.0,2.0,2021.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.25,0.2857142857142857
2019-07-31 21:30:00,Boca Juniors,Athletico,2.0,0.0,2019.0,round of 16,2,0,0,0,0,0,0,0,0,0.25,0.0
2015-05-31 18:30:00,Flamengo,Fluminense,2.0,3.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.25,0.42857142857142855
2013-10-16 21:00:00,Criciuma,Portuguesa,1.0,3.0,2013.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.42857142857142855
2019-08-25 19:00:00,Csa,Cruzeiro,1.0,1.0,2019.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2019-11-28 21:30:00,Cruzeiro,Csa,0.0,1.0,2019.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2016-06-11 16:00:00,Internacional,América,3.0,1.0,2016.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.14285714285714285
2015-08-30 16:00:00,Fluminense,Atlético,1.0,2.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2015-06-21 11:00:00,Cruzeiro,Chapecoense,0.0,1.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2020-09-12 19:00:00,Santos,São Paulo,2.0,2.0,2020.0,pontos corridos,1,0,1,0,0,0,0,1,0,0.25,0.2857142857142857
2012-10-10 19:30:00,Botafogo,Santos,0.0,2.0,2012.0,pontos corridos,0,0,0,0,0,0,1,0,0,0.0,0.2857142857142857
2018-08-18 16:00:00,Santos,Sport,3.0,0.0,2018.0,pontos corridos,2,0,1,0,0,0,0,0,0,0.375,0.0
2014-05-04 16:00:00,Bahia,Botafogo,1.0,0.0,2014.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2021-05-12 21:00:00,Junior de Barranquilla,River Plate,1.0,1.0,2021.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2015-06-28 18:30:00,Internacional,Santos,1.0,0.0,2015.0,pontos corridos,2,0,0,0,0,0,1,0,0,0.125,0.0
2013-11-24 17:00:00,Santos,Fluminense,1.0,0.0,2013.0,pontos corridos,2,0,1,0,0,0,0,0,0,0.125,0.0
2018-11-21 19:30:00,Internacional,Atlético,1.0,2.0,2018.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.2857142857142857
2021-08-03 19:15:00,Fluminense,Cerro Porteño,1.0,0.0,2021.0,round of 16,2,0,0,0,0,0,0,0,0,0.125,0.0
2021-07-25 18:15:00,Athletico Paranaense,Internacional,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.14285714285714285
2012-10-06 16:20:00,Atlético,Vasco da Gama,0.0,1.0,2012.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2014-09-07 16:00:00,Atlético,Botafogo,1.0,0.0,2014.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2013-07-07 18:30:00,Atlético,Criciuma,3.0,2.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.2857142857142857
2017-11-19 19:00:00,Atlético,Vasco da Gama,3.0,1.0,2017.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.14285714285714285
2021-04-27 19:15:00,LDU,Vélez Sarsfield,3.0,1.0,2021.0,group stage,2,0,0,0,0,0,0,0,0,0.375,0.14285714285714285
2013-05-23 21:30:00,Tijuana,Atlético-MG,2.0,2.0,2013.0,quarterfinals,1,0,0,0,0,0,0,0,0,0.25,0.2857142857142857
2017-06-22 21:00:00,Grêmio,Coritiba,2.0,0.0,2017.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2021-09-19 16:00:00,São Paulo,Atlético,2.0,1.0,2021.0,pontos corridos,2,0,0,1,0,0,0,0,0,0.25,0.14285714285714285
2019-07-20 19:00:00,Csa,Athletico Paranaense,0.0,4.0,2019.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.5714285714285714
2021-09-18 19:00:00,Atlético Mineiro,Sport,3.0,0.0,2021.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.0
2015-12-06 17:00:00,Corinthians,Avaí,1.0,1.0,2015.0,pontos corridos,1,0,0,0,1,0,0,0,0,0.125,0.14285714285714285
2015-09-03 19:30:00,Santos,Chapecoense,3.0,1.0,2015.0,pontos corridos,2,0,1,0,0,0,0,0,0,0.375,0.14285714285714285
2017-09-10 16:00:00,Sport,Avaí,0.0,1.0,2017.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285
2014-09-27 18:30:00,Chapecoense,Criciuma,1.0,1.0,2014.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2012-10-17 19:30:00,Bahia,Palmeiras,0.0,1.0,2012.0,pontos corridos,0,0,0,0,0,1,0,0,0,0.0,0.14285714285714285
2013-08-25 16:00:00,Bahia,Náutico,2.0,0.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.25,0.0
2015-11-18 21:00:00,Atlético,Palmeiras,3.0,3.0,2015.0,pontos corridos,1,0,0,0,0,1,0,0,0,0.375,0.42857142857142855
