2015-05-13 19:30:00,Cruzeiro,São Paulo,1.0,0.0,2015.0,round of 16,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
2018-05-31 21:00:00,Athletico Paranaense,Santos,2.0,0.0,2018.0,pontos corridos,2,0,0,0,0,1,0,1,0,0,0,0.25,0.0
2012-11-24 19:30:00,Corinthians,Santos,1.0,1.0,2012.0,pontos corridos,1,0,0,0,1,0,0,1,0,0,0,0.125,0.14285714285714285
2018-11-25 17:00:00,Vasco da Gama,Palmeiras,0.0,1.0,2018.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.0,0.14285714285714285
2021-10-06 21:30:00,America,Palmeiras,2.0,1.0,2021.0,pontos corridos,2,0,0,0,0,1,1,0,0,0,0,0.25,0.14285714285714285
2016-07-03 16:00:00,Corinthians,Flamengo,4.0,0.0,2016.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.5,0.0
2014-11-19 21:00:00,Goiás,Corinthians,0.0,1.0,2014.0,pontos corridos,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
2020-12-13 18:15:00,Corinthians,São Paulo,1.0,0.0,2020.0,pontos corridos,2,0,0,0,1,0,0,0,1,0,0,0.125,0.0
2015-08-15 21:00:00,São Paulo,Goiás,0.0,3.0,2015.0,pontos corridos,0,0,0,1,0,0,0,0,0,0,1,0.0,0.42857142857142855
2013-07-10 21:00:00,São Paulo,Bahia,1.0,2.0,2013.0,pontos corridos,0,0,0,1,0,0,0,0,0,0,1,0.125,0.2857142857142857
2018-08-26 11:00:00,São Paulo,Ceará,1.0,0.0,2018.0,pontos corridos,2,0,0,1,0,0,0,0,0,0,1,0.125,0.0
2021-06-24 19:00:00,Corinthians,Sport,2.0,1.0,2021.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.25,0.14285714285714285
2020-11-28 17:00:00,Palmeiras,Athletico Paranaense,3.0,0.0,2020.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.375,0.0
2019-10-16 21:30:00,Goiás,Corinthians,2.0,2.0,2019.0,pontos corridos,1,0,0,0,0,1,0,0,0,1,0,0.25,0.2857142857142857
2021-07-21 19:15:00,Palmeiras,Universidad Católica,1.0,0.0,2021.0,round of 16,2,1,0,0,0,0,0,0,0,0,1,0.125,0.0
2012-07-15 18:30:00,Palmeiras,São Paulo,1.0,1.0,2012.0,pontos corridos,1,1,0,0,0,0,0,0,1,0,0,0.125,0.14285714285714285
2016-10-01 16:00:00,Santos,Atlético,2.0,0.0,2016.0,pontos corridos,2,0,1,0,0,0,0,0,0,0,1,0.25,0.0
2021-01-23 19:00:00,São Paulo,Coritiba,1.0,1.0,2020.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.125,0.14285714285714285
2018-06-13 19:00:00,Fluminense,Santos,0.0,1.0,2018.0,pontos corridos,0,0,0,0,0,1,0,1,0,0,0,0.0,0.14285714285714285
2021-10-31 16:00:00,Grêmio,Palmeiras,1.0,3.0,2021.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.125,0.42857142857142855
2021-02-02 16:00:00,Palmeiras,Botafogo,1.0,1.0,2020.0,pontos corridos,1,1,0,0,0,0,0,0,0,0,1,0.125,0.14285714285714285
2014-10-11 18:30:00,Botafogo,Corinthians,1.0,0.0,2014.0,pontos corridos,2,0,0,0,0,1,0,0,0,1,0,0.125,0.0
2017-06-21 19:30:00,Vitória,Santos,0.0,2.0,2017.0,pontos corridos,0,0,0,0,0,1,0,1,0,0,0,0.0,0.2857142857142857
2012-07-01 18:30:00,Palmeiras,Figueirense,3.0,1.0,2012.0,pontos corridos,2,1,0,0,0,0,0,0,0,0,1,0.375,0.14285714285714285
2016-03-02 21:45:00,Corinthians,Ind. Santa Fe,1.0,0.0,2016.0,group stage,2,0,0,0,1,0,0,0,0,0,1,0.125,0.0
2016-05-29 18:30:00,Santos,Internacional,0.0,1.0,2016.0,pontos corridos,0,0,1,0,0,0,0,0,0,0,1,0.0,0.14285714285714285
2019-05-25 16:00:00,Botafogo,Palmeiras,0.0,1.0,2019.0,pontos corridos,0,0,0,0,0,1,1,0,0,0,0,0.0,0.14285714285714285
2020-10-14 21:30:00,Athletico Paranaense,Corinthians,0.0,1.0,2020.0,pontos corridos,0,0,0,0,0,1,0,0,0,1,0,0.0,0.14285714285714285
2015-12-06 17:00:00,Corinthians,Avaí,1.0,1.0,2015.0,pontos corridos,1,0,0,0,1,0,0,0,0,0,1,0.125,0.14285714285714285
2013-10-19 21:00:00,Corinthians,Criciuma,1.0,0.0,2013.0,pontos corridos,2,0,0,0,1,0,0,0,0,0,1,0.125,0.0
2021-11-30 22:00:00,Cuiabá,Palmeiras,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2017-06-25 16:00:00,São Paulo,Fluminense,1.0,1.0,2017.0,pontos corridos,1,0,0,1,0,0,0,0,0,0,1,0.125,0.14285714285714285
2014-11-09 19:30:00,Corinthians,Santos,1.0,0.0,2014.0,pontos corridos,2,0,0,0,1,0,0,1,0,0,0,0.125,0.0
2021-12-06 19:00:00,Athletico Paranaense,Palmeiras,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2014-10-12 16:00:00,Atlético,São Paulo,1.0,0.0,2014.0,pontos corridos,2,0,0,0,0,1,0,0,1,0,0,0.125,0.0
